Year;Agriculture;Land Usage;Waste;Buildings;Industry;Transport;Manufacture;Eletricity and Heat;Fugitive;Other Fuels;Bunker Fuels
2016;144.08734;1141.11631;127.28015;33.30080;30.20914;135.60140;102.22570;196.26450;103.47522;7.06440;4.94240
2016;140.75119;514.87459;129.46524;32.75110;34.57828;132.02310;86.85640;207.25030;105.26832;6.76650;5.36340
2017;149.78725;480.33218;131.65034;33.25450;35.05742;139.06040;92.53200;218.71770;107.10712;6.23200;5.71550
2018;155.08421;661.53039;133.83544;32.38610;37.13656;155.53500;113.12230;241.23590;113.25572;4.92400;5.83160
2019;151.05684;891.34746;136.02053;31.07070;36.68570;154.39910;148.33390;247.51940;119.62432;3.26690;5.21940
2020;152.15975;494.11376;138.20563;30.57670;33.04484;131.54550;132.43380;244.68173;111.53212;2.90860;2.31870
2021;152.03557;493.71051;138.20563;30.57670;33.04484;131.54550;132.43380;244.48205;111.53212;2.90860;2.31870
2021;149.80210;556.74142;137.14722;30.91176;33.79823;136.20722;130.78326;239.43265;112.28933;3.30842;3.09556
2022;148.69220;552.61648;137.14722;30.91176;33.79823;136.20722;130.78326;237.65867;112.28933;3.30842;3.09556
2023;147.51000;548.22281;137.14722;30.91176;33.79823;136.20722;130.78326;235.76913;112.28933;3.30842;3.09556
2024;146.25118;543.54440;137.14722;30.91176;33.79823;136.20722;130.78326;233.75713;112.28933;3.30842;3.09556
2025;144.91124;538.56450;137.14722;30.91176;33.79823;136.20722;130.78326;231.61547;112.28933;3.30842;3.09556
2026;143.48548;533.26561;137.14722;30.91176;33.79823;136.20722;130.78326;229.33662;112.28933;3.30842;3.09556
2027;141.96897;527.62952;137.14722;30.91176;33.79823;136.20722;130.78326;226.91276;112.28933;3.30842;3.09556
2028;140.35664;521.63726;137.14722;30.91176;33.79823;136.20722;130.78326;224.33573;112.28933;3.30842;3.09556
2029;138.64319;515.26920;137.14722;30.91176;33.79823;136.20722;130.78326;221.59707;112.28933;3.30842;3.09556
2030;136.82316;508.50502;137.14722;30.91176;33.79823;136.20722;130.78326;218.68806;112.28933;3.30842;3.09556
